account_key,status,join_date,cancel_date,days_to_cancel,is_udacity,is_canceled
550,canceled,2015-05-28,2015-07-04,37,False,True
44,canceled,2014-11-10,2015-03-10,120,False,True
44,current,2015-03-10,,,False,False
1020,canceled,2014-11-10,2014-11-15,5,False,True
838,canceled,2014-11-10,2014-11-11,1,False,True
198,current,2014-11-10,,,False,False
368,current,2014-11-10,,,False,False
440,canceled,2014-11-11,2015-02-18,99,False,True
675,canceled,2014-11-11,2014-11-16,5,False,True
57,canceled,2014-11-11,2015-02-18,99,False,True
57,current,2015-05-06,,,False,False
1090,canceled,2014-11-11,2014-11-26,15,False,True
541,canceled,2014-11-12,2015-06-19,219,False,True
756,canceled,2014-11-12,2014-11-15,3,False,True
756,canceled,2014-11-15,2015-01-15,61,False,True
1219,canceled,2014-11-12,2014-11-12,0,False,True
101,canceled,2014-11-12,2015-04-20,159,False,True
1021,canceled,2014-11-12,2014-11-17,5,False,True
1108,canceled,2014-11-12,2014-11-16,4,False,True
800,canceled,2014-11-12,2014-11-14,2,False,True
800,canceled,2015-03-04,2015-05-11,68,False,True
702,canceled,2014-11-13,2014-11-15,2,False,True
702,canceled,2014-11-15,2015-01-14,60,False,True
702,canceled,2015-01-14,2015-03-10,55,False,True
702,current,2015-03-10,,,False,False
871,canceled,2014-11-13,2014-11-13,0,False,True
38,current,2014-11-14,,,False,False
215,current,2014-11-14,,,False,False
744,canceled,2014-11-14,2014-12-21,37,False,True
217,canceled,2014-11-14,2014-11-15,1,False,True
217,canceled,2014-11-15,2015-03-10,115,False,True
217,current,2015-03-10,,,False,False
1221,canceled,2014-11-14,2014-11-21,7,False,True
1211,canceled,2014-11-14,2014-11-15,1,False,True
1211,canceled,2014-11-15,2015-01-15,61,False,True
1211,current,2015-03-06,,,False,False
1051,canceled,2014-11-14,2014-11-16,2,False,True
1286,canceled,2014-11-14,2014-11-21,7,False,True
53,canceled,2014-11-14,2014-12-21,37,False,True
53,current,2015-05-11,,,False,False
895,canceled,2014-11-14,2014-11-19,5,False,True
895,canceled,2014-11-11,2014-11-11,0,False,True
283,current,2014-11-15,,,False,False
283,canceled,2014-11-13,2014-11-15,2,False,True
338,canceled,2014-11-15,2015-01-14,60,False,True
338,canceled,2015-01-14,2015-02-03,20,False,True
338,canceled,2015-02-03,2015-02-22,19,False,True
338,current,2015-05-11,,,False,False
579,current,2014-11-15,,,False,False
903,canceled,2014-11-16,2014-11-21,5,False,True
627,current,2014-11-16,,,False,False
253,canceled,2014-11-16,2015-01-14,59,False,True
253,current,2015-01-14,,,False,False
861,canceled,2014-11-16,2014-11-19,3,False,True
178,canceled,2014-11-17,2015-05-09,173,False,True
822,canceled,2014-11-17,2015-01-15,59,False,True
822,current,2015-07-18,,,False,False
96,current,2014-11-17,,,False,False
123,canceled,2014-11-10,2015-03-10,120,False,True
123,canceled,2015-03-10,2015-04-17,38,False,True
943,canceled,2014-11-10,2014-11-17,7,False,True
620,current,2014-11-10,,,False,False
1204,canceled,2014-11-10,2014-12-17,37,False,True
195,current,2014-11-10,,,False,False
890,canceled,2014-11-10,2014-11-11,1,False,True
354,current,2014-11-10,,,False,False
837,canceled,2014-11-10,2014-11-11,1,False,True
114,canceled,2014-11-10,2014-11-11,1,False,True
114,current,2015-05-08,,,False,False
810,canceled,2014-11-10,2014-11-13,3,False,True
394,canceled,2014-11-10,2015-04-17,158,False,True
1253,canceled,2014-11-10,2015-01-14,65,False,True
1253,canceled,2015-01-14,2015-01-20,6,False,True
504,canceled,2014-11-10,2015-06-17,219,False,True
537,current,2014-11-10,,,False,False
72,canceled,2014-11-10,2015-05-17,188,False,True
268,canceled,2014-11-10,2014-12-17,37,False,True
268,canceled,2015-04-03,2015-08-10,129,False,True
339,canceled,2014-11-10,2015-03-10,120,False,True
339,canceled,2015-04-01,2015-06-17,77,False,True
339,canceled,2015-03-10,2015-04-01,22,False,True
1244,canceled,2014-11-10,2015-01-14,65,False,True
1244,current,2015-03-10,,,False,False
1244,canceled,2015-01-14,2015-03-10,55,False,True
1244,canceled,2015-03-17,2015-04-27,41,False,True
1244,canceled,2015-05-17,2015-08-17,92,False,True
752,canceled,2014-11-10,2014-11-19,9,False,True
194,current,2014-11-10,,,False,False
520,canceled,2014-11-10,2015-03-17,127,False,True
102,current,2014-11-10,,,False,False
367,canceled,2014-11-11,2015-04-02,142,False,True
258,canceled,2014-11-10,2015-07-17,249,False,True
522,current,2014-11-10,,,False,False
1047,canceled,2014-11-10,2014-11-11,1,False,True
329,canceled,2014-11-10,2015-01-14,65,False,True
329,canceled,2015-03-10,2015-04-08,29,False,True
329,current,2015-04-08,,,False,False
329,canceled,2015-01-14,2015-02-03,20,False,True
329,canceled,2015-02-03,2015-03-10,35,False,True
225,current,2014-11-10,,,False,False
612,canceled,2014-11-10,2015-03-10,120,False,True
612,canceled,2015-03-10,2015-03-17,7,False,True
150,canceled,2014-11-10,2015-05-17,188,False,True
179,canceled,2014-11-10,2015-03-17,127,False,True
595,current,2014-11-10,,,False,False
587,canceled,2014-11-10,2015-01-14,65,False,True
587,canceled,2015-01-14,2015-04-17,93,False,True
587,current,2015-05-28,,,False,False
439,canceled,2014-11-10,2015-03-10,120,False,True
439,current,2015-03-10,,,False,False
428,current,2014-11-10,,,False,False
18,canceled,2014-11-10,2015-02-17,99,False,True
544,canceled,2014-11-10,2015-05-17,188,False,True
10,current,2014-11-10,,,False,False
913,canceled,2014-11-10,2015-01-14,65,False,True
913,canceled,2015-01-14,2015-02-17,34,False,True
23,current,2014-11-10,,,False,False
576,canceled,2014-11-10,2015-02-17,99,False,True
431,canceled,2014-11-10,2015-03-17,127,False,True
223,current,2014-11-10,,,False,False
480,canceled,2014-11-10,2015-03-10,120,False,True
480,canceled,2015-03-10,2015-04-01,22,False,True
480,current,2015-04-01,,,False,False
525,canceled,2014-11-10,2015-07-17,249,False,True
1111,canceled,2014-11-11,2015-03-10,119,False,True
1111,canceled,2015-03-10,2015-04-01,22,False,True
1111,canceled,2015-04-01,2015-04-18,17,False,True
1107,canceled,2014-11-11,2014-11-19,8,False,True
577,canceled,2014-11-12,2015-01-19,68,False,True
577,canceled,2015-02-05,2015-07-12,157,False,True
92,canceled,2014-11-12,2015-07-19,249,False,True
335,canceled,2014-11-12,2015-05-19,188,False,True
275,canceled,2014-11-12,2014-11-16,4,False,True
275,current,2014-11-16,,,False,False
930,canceled,2014-11-13,2014-11-17,4,False,True
245,current,2014-11-14,,,False,False
135,current,2014-11-14,,,False,False
37,current,2014-11-14,,,False,False
740,canceled,2014-11-14,2014-11-15,1,False,True
740,canceled,2014-11-11,2014-11-13,2,False,True
186,current,2014-11-14,,,False,False
389,current,2014-11-15,,,False,False
389,canceled,2014-11-14,2014-11-15,1,False,True
1218,canceled,2014-11-15,2014-11-15,0,False,True
693,canceled,2014-11-15,2015-01-14,60,False,True
693,canceled,2015-01-14,2015-01-23,9,False,True
770,canceled,2014-11-15,2014-11-19,4,False,True
88,canceled,2014-11-15,2015-03-10,115,False,True
88,current,2015-04-01,,,False,False
88,canceled,2015-03-10,2015-04-01,22,False,True
845,canceled,2014-11-16,2014-11-23,7,False,True
983,canceled,2014-11-16,2015-01-14,59,False,True
983,canceled,2015-01-14,2015-01-23,9,False,True
1118,canceled,2014-11-17,2014-12-24,37,False,True
1118,canceled,2014-11-12,2014-11-17,5,False,True
499,canceled,2014-11-17,2014-11-17,0,False,True
499,canceled,2015-02-06,2015-05-13,96,False,True
590,canceled,2014-12-03,2015-02-03,62,False,True
590,current,2015-05-11,,,False,False
590,canceled,2015-02-03,2015-03-10,35,False,True
264,canceled,2014-12-03,2015-02-03,62,False,True
264,canceled,2015-02-03,2015-02-25,22,False,True
300,current,2014-12-03,,,False,False
54,current,2014-12-03,,,False,False
1043,canceled,2014-12-03,2014-12-04,1,False,True
1130,canceled,2014-12-03,2015-01-25,53,False,True
654,canceled,2014-12-04,2014-12-04,0,False,True
654,canceled,2014-12-04,2014-12-04,0,False,True
654,canceled,2014-12-03,2014-12-03,0,False,True
736,canceled,2014-12-04,2015-03-11,97,False,True
964,canceled,2014-12-04,2014-12-04,0,False,True
976,canceled,2014-12-04,2015-01-11,38,False,True
1203,canceled,2014-12-04,2014-12-09,5,False,True
278,current,2014-12-04,,,False,False
377,current,2014-12-05,,,False,False
342,current,2014-12-05,,,False,False
358,current,2014-12-05,,,False,False
316,canceled,2014-12-06,2015-06-13,189,False,True
347,canceled,2014-12-07,2015-03-14,97,False,True
347,current,2015-04-05,,,False,False
295,canceled,2014-12-07,2014-12-07,0,False,True
295,current,2015-04-03,,,False,False
343,canceled,2014-12-07,2015-03-14,97,False,True
1127,canceled,2014-12-07,2014-12-08,1,False,True
1076,canceled,2014-12-08,2014-12-12,4,False,True
502,current,2014-12-08,,,False,False
502,canceled,2014-11-15,2014-11-21,6,False,True
1223,canceled,2014-12-08,2014-12-13,5,False,True
221,canceled,2014-12-03,2015-02-10,69,False,True
631,canceled,2014-12-03,2014-12-08,5,False,True
631,canceled,2015-05-08,2015-07-15,68,False,True
495,current,2014-12-04,,,False,False
495,canceled,2014-11-12,2014-11-17,5,False,True
1009,canceled,2014-12-05,2015-02-12,69,False,True
364,current,2014-12-05,,,False,False
1252,canceled,2014-12-05,2014-12-11,6,False,True
909,canceled,2014-12-05,2014-12-28,23,False,True
1156,canceled,2014-12-06,2014-12-08,2,False,True
524,canceled,2014-12-06,2015-02-03,59,False,True
524,current,2015-03-04,,,False,False
560,current,2014-12-06,,,False,False
570,current,2014-12-07,,,False,False
581,current,2014-12-07,,,False,False
759,canceled,2014-12-08,2015-02-03,57,False,True
759,canceled,2015-04-08,2015-04-15,7,False,True
759,canceled,2015-02-03,2015-04-08,64,False,True
896,canceled,2014-12-08,2015-02-03,57,False,True
896,canceled,2015-03-10,2015-04-08,29,False,True
896,canceled,2015-02-03,2015-03-10,35,False,True
896,current,2015-04-08,,,False,False
346,current,2014-12-08,,,False,False
346,canceled,2014-12-05,2014-12-05,0,False,True
411,canceled,2014-12-08,2015-02-03,57,False,True
411,canceled,2015-03-10,2015-04-08,29,False,True
411,canceled,2015-02-03,2015-03-10,35,False,True
411,canceled,2015-04-08,2015-06-15,68,False,True
705,canceled,2014-12-08,2014-12-14,6,False,True
705,canceled,2015-04-08,2015-04-28,20,False,True
776,canceled,2014-12-08,2015-02-03,57,False,True
557,canceled,2014-12-08,2015-02-03,57,False,True
557,current,2015-03-10,,,False,False
557,canceled,2015-02-03,2015-03-10,35,False,True
1234,canceled,2014-12-09,2014-12-14,5,False,True
634,canceled,2014-12-09,2015-06-16,189,False,True
1124,canceled,2014-12-09,2015-02-03,56,False,True
1124,current,2015-04-08,,,False,False
1124,canceled,2015-02-03,2015-04-08,64,False,True
932,canceled,2014-12-09,2015-01-16,38,False,True
817,canceled,2014-12-09,2014-12-09,0,False,True
169,canceled,2014-12-09,2014-12-14,5,False,True
169,canceled,2015-02-05,2015-08-12,188,False,True
350,current,2015-01-07,,,False,False
345,current,2015-01-07,,,False,False
1171,canceled,2015-01-07,2015-01-07,0,False,True
530,current,2015-01-07,,,False,False
383,current,2015-01-07,,,False,False
1271,canceled,2015-01-07,2015-01-13,6,False,True
229,canceled,2015-01-07,2015-06-14,158,False,True
876,canceled,2015-01-08,2015-01-11,3,False,True
622,canceled,2015-01-08,2015-06-15,158,False,True
1065,canceled,2015-01-08,2015-01-11,3,False,True
884,canceled,2015-01-08,2015-01-08,0,False,True
730,canceled,2015-01-08,2015-01-30,22,False,True
905,canceled,2015-01-08,2015-03-15,66,False,True
356,current,2015-01-09,,,False,False
1164,canceled,2015-01-09,2015-01-14,5,False,True
170,canceled,2015-01-09,2015-08-16,219,False,True
467,canceled,2015-01-10,2015-07-02,173,False,True
780,canceled,2015-01-11,2015-02-18,38,False,True
418,canceled,2015-01-11,2015-07-18,188,False,True
1074,canceled,2015-01-11,2015-03-10,58,False,True
1074,canceled,2015-03-10,2015-04-18,39,False,True
859,canceled,2015-01-11,2015-02-18,38,False,True
859,canceled,2014-11-15,2014-11-22,7,False,True
91,canceled,2014-11-10,2015-03-10,120,False,True
91,current,2015-03-10,,,False,False
12,current,2014-11-10,,,False,False
3,canceled,2014-11-10,2015-03-10,120,False,True
3,current,2015-03-10,,,False,False
157,canceled,2014-11-10,2015-03-10,120,False,True
157,canceled,2015-03-10,2015-07-17,129,False,True
224,current,2014-11-10,,,False,False
562,current,2014-11-10,,,False,False
1098,current,2014-11-10,,,False,False
378,canceled,2014-11-10,2015-03-10,120,False,True
378,canceled,2015-03-10,2015-04-17,38,False,True
1214,canceled,2014-11-10,2015-01-15,66,False,True
483,canceled,2014-11-10,2015-04-20,161,False,True
1094,canceled,2014-11-10,2014-12-17,37,False,True
882,canceled,2014-11-10,2014-12-17,37,False,True
412,canceled,2014-11-10,2015-03-10,120,False,True
412,current,2015-04-01,,,False,False
412,canceled,2015-03-10,2015-04-01,22,False,True
390,current,2014-11-10,,,False,False
366,canceled,2014-11-10,2015-03-10,120,False,True
366,canceled,2015-04-01,2015-04-17,16,False,True
366,canceled,2015-03-10,2015-04-01,22,False,True
81,current,2014-11-10,,,False,False
696,canceled,2014-11-10,2015-01-14,65,False,True
696,canceled,2015-01-14,2015-01-20,6,False,True
892,canceled,2014-11-10,2014-11-12,2,False,True
1142,canceled,2014-11-10,2015-01-14,65,False,True
1142,canceled,2015-03-10,2015-07-17,129,False,True
1142,canceled,2015-01-14,2015-03-10,55,False,True
234,current,2014-11-11,,,False,False
148,canceled,2014-11-11,2015-03-10,119,False,True
148,canceled,2015-04-01,2015-04-18,17,False,True
148,canceled,2015-03-10,2015-04-01,22,False,True
630,canceled,2014-11-11,2015-03-18,127,False,True
1083,canceled,2014-11-11,2014-11-12,1,False,True
1011,canceled,2014-11-11,2014-11-12,1,False,True
1011,canceled,2015-04-08,2015-05-15,37,False,True
1114,canceled,2014-11-12,2014-11-18,6,False,True
161,canceled,2014-11-12,2015-05-19,188,False,True
441,canceled,2014-11-12,2015-06-19,219,False,True
712,canceled,2014-11-13,2015-03-20,127,False,True
273,current,2014-11-14,,,False,False
76,canceled,2014-11-14,2014-11-15,1,False,True
76,current,2015-01-15,,,False,False
76,canceled,2014-11-15,2015-01-15,61,False,True
938,canceled,2014-11-14,2015-01-16,63,False,True
131,current,2014-11-14,,,False,False
231,current,2014-11-14,,,False,False
1085,canceled,2014-11-14,2014-11-18,4,False,True
327,current,2014-11-14,,,False,False
829,canceled,2014-11-15,2014-12-22,37,False,True
829,canceled,2014-11-14,2014-11-15,1,False,True
203,canceled,2014-11-15,2014-11-21,6,False,True
203,canceled,2015-05-12,2015-07-19,68,False,True
277,current,2014-11-15,,,False,False
280,current,2014-11-15,,,False,False
308,current,2014-11-16,,,False,False
1239,canceled,2014-11-17,2014-11-19,2,False,True
1230,canceled,2014-11-17,2014-11-19,2,False,True
875,canceled,2014-11-17,2014-11-17,0,False,True
202,current,2014-12-03,,,False,False
563,canceled,2014-12-03,2015-07-10,219,False,True
1167,canceled,2014-12-03,2015-01-10,38,False,True
643,canceled,2014-12-03,2015-02-03,62,False,True
643,canceled,2015-03-10,2015-04-08,29,False,True
643,current,2015-04-18,,,False,False
643,canceled,2015-04-08,2015-04-18,10,False,True
643,canceled,2015-02-03,2015-03-10,35,False,True
110,canceled,2014-12-03,2015-05-10,158,False,True
244,current,2014-12-04,,,False,False
1289,canceled,2014-12-04,2015-02-03,61,False,True
1120,canceled,2014-12-04,2014-12-04,0,False,True
500,canceled,2014-12-05,2015-02-03,60,False,True
500,canceled,2014-11-12,2014-11-17,5,False,True
500,current,2015-02-03,,,False,False
728,canceled,2014-12-05,2014-12-05,0,False,True
209,current,2014-12-05,,,False,False
292,current,2014-12-05,,,False,False
546,current,2014-12-05,,,False,False
1160,canceled,2014-12-05,2015-01-12,38,False,True
64,canceled,2014-12-06,2015-04-13,128,False,True
637,canceled,2014-12-06,2014-12-10,4,False,True
637,canceled,2015-03-10,2015-04-14,35,False,True
637,canceled,2015-05-06,2015-08-13,99,False,True
637,canceled,2015-01-07,2015-03-10,62,False,True
52,canceled,2014-12-07,2015-03-14,97,False,True
747,canceled,2014-12-07,2014-12-13,6,False,True
747,current,2015-04-02,,,False,False
450,current,2014-12-07,,,False,False
111,canceled,2014-12-07,2015-03-01,84,False,True
583,canceled,2014-12-08,2015-05-15,158,False,True
461,current,2014-12-08,,,False,False
1199,canceled,2014-12-08,2015-01-15,38,False,True
743,canceled,2014-12-09,2015-01-16,38,False,True
474,canceled,2014-12-09,2015-03-16,97,False,True
960,canceled,2014-12-09,2014-12-15,6,False,True
667,canceled,2014-12-09,2015-01-16,38,False,True
1095,canceled,2014-12-09,2014-12-13,4,False,True
1095,canceled,2015-06-06,2015-08-13,68,False,True
79,canceled,2014-12-09,2015-07-16,219,False,True
691,canceled,2015-01-07,2015-01-10,3,False,True
66,current,2015-01-07,,,False,False
197,canceled,2015-01-07,2015-06-14,158,False,True
67,canceled,2015-01-07,2015-03-14,66,False,True
678,canceled,2015-01-08,2015-02-15,38,False,True
873,canceled,2015-01-08,2015-01-30,22,False,True
623,canceled,2015-01-08,2015-04-15,97,False,True
623,canceled,2014-12-07,2014-12-14,7,False,True
791,current,2015-01-08,,,False,False
507,canceled,2015-01-09,2015-03-10,60,False,True
507,current,2015-03-10,,,False,False
488,current,2015-01-09,,,False,False
488,canceled,2014-11-15,2014-11-20,5,False,True
270,canceled,2015-01-09,2015-05-31,142,False,True
362,canceled,2015-01-09,2015-02-05,27,False,True
362,canceled,2015-02-05,2015-04-16,70,False,True
263,canceled,2015-01-10,2015-04-17,97,False,True
263,current,2015-08-12,,,False,False
263,canceled,2015-06-01,2015-07-08,37,False,True
965,canceled,2015-01-10,2015-04-17,97,False,True
761,canceled,2015-01-11,2015-02-18,38,False,True
1191,canceled,2015-01-11,2015-01-11,0,False,True
598,current,2015-01-12,,,False,False
785,canceled,2015-01-12,2015-03-10,57,False,True
785,canceled,2015-04-08,2015-05-19,41,False,True
785,canceled,2015-03-10,2015-04-08,29,False,True
989,canceled,2015-01-12,2015-02-18,37,False,True
989,canceled,2015-04-08,2015-06-19,72,False,True
989,canceled,2015-02-18,2015-04-08,49,False,True
28,current,2015-01-12,,,False,False
1293,canceled,2014-12-08,2014-12-10,2,False,True
166,current,2014-12-08,,,False,False
682,canceled,2014-12-08,2014-12-15,7,False,True
682,canceled,2014-12-07,2014-12-07,0,False,True
682,canceled,2015-04-08,2015-05-15,37,False,True
1295,canceled,2014-12-09,2014-12-15,6,False,True
1295,canceled,2015-07-17,2015-07-22,5,False,True
695,canceled,2014-12-09,2014-12-15,6,False,True
671,canceled,2014-12-09,2015-02-03,56,False,True
907,canceled,2014-12-09,2014-12-15,6,False,True
1121,canceled,2014-12-29,2015-01-12,14,False,True
1121,canceled,2014-11-11,2014-12-29,48,False,True
1121,canceled,2015-01-12,2015-02-18,37,False,True
966,canceled,2015-01-07,2015-03-10,62,False,True
966,current,2015-03-10,,,False,False
442,canceled,2015-01-07,2015-03-10,62,False,True
442,current,2015-03-10,,,False,False
442,canceled,2015-03-15,2015-04-27,43,False,True
442,current,2015-05-14,,,False,False
5,canceled,2015-01-07,2015-04-16,99,False,True
5,canceled,2015-01-07,2015-01-07,0,False,True
1283,canceled,2015-01-07,2015-01-10,3,False,True
592,current,2015-01-07,,,False,False
1137,canceled,2015-01-08,2015-01-10,2,False,True
34,canceled,2015-01-08,2015-02-03,26,False,True
34,canceled,2014-11-16,2015-01-08,53,False,True
34,current,2015-02-03,,,False,False
824,canceled,2015-01-09,2015-01-31,22,False,True
824,canceled,2015-02-10,2015-03-04,22,False,True
0,current,2015-01-09,,,False,False
688,canceled,2015-01-09,2015-01-11,2,False,True
527,current,2015-01-09,,,False,False
1304,canceled,2015-01-10,2015-03-10,59,True,True
1304,canceled,2015-03-10,2015-06-17,99,True,True
1060,canceled,2015-01-11,2015-02-18,38,False,True
1010,canceled,2015-01-11,2015-01-11,0,False,True
745,canceled,2014-11-11,2014-11-13,2,False,True
227,canceled,2014-11-12,2014-12-19,37,False,True
227,current,2015-04-08,,,False,False
929,canceled,2014-11-12,2014-11-17,5,False,True
841,canceled,2014-11-12,2014-11-12,0,False,True
599,canceled,2014-11-12,2015-01-14,63,False,True
599,canceled,2015-01-14,2015-01-22,8,False,True
599,current,2015-04-02,,,False,False
181,canceled,2014-11-13,2015-03-10,117,False,True
181,current,2015-03-10,,,False,False
1035,canceled,2014-11-13,2014-11-13,0,False,True
1035,canceled,2015-02-06,2015-02-09,3,False,True
639,canceled,2014-11-13,2015-03-20,127,False,True
126,current,2014-11-14,,,False,False
254,current,2014-11-14,,,False,False
1303,canceled,2014-11-14,2015-01-14,61,False,True
1303,canceled,2015-03-10,2015-04-08,29,False,True
1303,canceled,2015-04-08,2015-04-21,13,False,True
1303,canceled,2015-01-14,2015-02-03,20,False,True
1303,canceled,2015-02-03,2015-03-10,35,False,True
969,canceled,2014-11-14,2014-12-22,38,False,True
869,canceled,2014-11-14,2014-11-21,7,False,True
972,canceled,2014-11-15,2015-01-14,60,False,True
972,canceled,2015-01-14,2015-03-10,55,False,True
972,canceled,2015-03-10,2015-03-22,12,False,True
334,canceled,2014-11-16,2015-03-10,114,False,True
334,current,2015-03-10,,,False,False
469,current,2014-11-16,,,False,False
684,canceled,2014-11-16,2014-11-21,5,False,True
1012,canceled,2014-11-17,2014-11-21,4,False,True
33,current,2015-01-12,,,False,False
250,current,2015-01-12,,,False,False
1109,canceled,2015-01-12,2015-01-16,4,False,True
486,current,2015-01-12,,,False,False
862,canceled,2015-01-12,2015-01-18,6,False,True
567,current,2015-01-12,,,False,False
371,current,2015-01-13,,,False,False
765,canceled,2015-01-13,2015-01-18,5,False,True
1277,canceled,2015-01-14,2015-01-22,8,False,True
1277,canceled,2014-11-14,2015-01-14,61,False,True
1071,canceled,2015-01-14,2015-03-17,62,False,True
1071,canceled,2014-11-10,2015-01-14,65,False,True
923,canceled,2015-01-14,2015-03-10,55,False,True
923,canceled,2014-11-16,2015-01-14,59,False,True
923,current,2015-03-10,,,False,False
640,canceled,2015-01-14,2015-01-15,1,False,True
640,canceled,2014-11-12,2015-01-14,63,False,True
640,current,2015-04-01,,,False,False
640,canceled,2015-01-15,2015-01-15,0,False,True
640,canceled,2015-01-15,2015-03-10,54,False,True
640,canceled,2015-03-10,2015-04-01,22,False,True
1174,canceled,2015-01-14,2015-02-03,20,False,True
1174,canceled,2014-11-10,2015-01-14,65,False,True
1174,canceled,2015-02-03,2015-02-17,14,False,True
1019,canceled,2015-01-14,2015-01-18,4,False,True
1019,canceled,2014-11-11,2015-01-14,64,False,True
655,canceled,2015-01-14,2015-01-20,6,False,True
655,canceled,2014-11-10,2015-01-14,65,False,True
529,current,2015-02-03,,,False,False
529,canceled,2014-12-08,2015-02-03,57,False,True
222,current,2014-11-17,,,False,False
256,canceled,2014-12-03,2015-04-01,119,False,True
256,canceled,2015-04-01,2015-06-10,70,False,True
288,current,2014-12-03,,,False,False
523,canceled,2014-12-03,2015-01-12,40,False,True
523,canceled,2015-01-12,2015-03-10,57,False,True
523,current,2015-03-10,,,False,False
24,canceled,2014-12-03,2015-06-10,189,False,True
922,canceled,2014-12-03,2014-12-08,5,False,True
707,canceled,2014-12-03,2014-12-03,0,False,True
397,canceled,2014-12-04,2015-04-01,118,False,True
397,current,2015-04-01,,,False,False
925,canceled,2014-12-04,2014-12-05,1,False,True
265,canceled,2014-12-04,2015-01-11,38,False,True
650,canceled,2014-12-04,2014-12-10,6,False,True
650,canceled,2015-03-04,2015-08-11,160,False,True
717,canceled,2014-12-04,2014-12-04,0,False,True
1013,canceled,2014-12-04,2015-04-01,118,False,True
1013,canceled,2015-04-01,2015-04-11,10,False,True
618,canceled,2014-12-05,2015-04-12,128,False,True
1236,canceled,2014-12-05,2015-02-03,60,False,True
1181,current,2014-12-05,,,False,False
1152,canceled,2014-12-05,2014-12-07,2,False,True
1152,canceled,2015-05-11,2015-05-14,3,False,True
1152,canceled,2015-07-16,2015-07-22,6,False,True
1225,canceled,2014-12-05,2014-12-10,5,False,True
727,canceled,2014-12-07,2014-12-07,0,False,True
866,canceled,2014-12-07,2015-01-14,38,False,True
1201,canceled,2014-12-07,2015-01-14,38,False,True
982,canceled,2014-12-08,2014-12-09,1,False,True
193,canceled,2014-12-08,2015-04-01,114,False,True
193,current,2015-04-01,,,False,False
710,canceled,2014-12-08,2015-02-03,57,False,True
710,canceled,2015-02-03,2015-02-15,12,False,True
1273,canceled,2015-01-12,2015-01-12,0,False,True
1280,canceled,2015-01-12,2015-01-15,3,False,True
180,canceled,2015-01-12,2015-03-10,57,False,True
180,current,2015-04-08,,,False,False
180,canceled,2015-03-10,2015-04-08,29,False,True
722,canceled,2015-01-12,2015-03-10,57,False,True
722,canceled,2015-03-10,2015-05-19,70,False,True
125,current,2015-01-13,,,False,False
954,canceled,2015-01-14,2015-03-10,55,False,True
954,canceled,2015-03-10,2015-04-02,23,False,True
954,canceled,2014-11-10,2015-01-14,65,False,True
140,current,2015-01-14,,,False,False
140,canceled,2014-11-10,2015-01-14,65,False,True
1139,canceled,2015-01-14,2015-01-16,2,False,True
1139,canceled,2015-01-16,2015-02-18,33,False,True
1139,canceled,2014-11-11,2015-01-14,64,False,True
388,current,2015-02-03,,,False,False
388,canceled,2014-12-08,2015-02-03,57,False,True
